Trial 1,1667,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,339,338,
Trial 2,1664,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,333,337,
Trial 3,1667,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,360,379,
Trial 4,1667,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,365,374,
Trial 5,1667,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,330,337,
Trial 6,1667,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,367,398,
Trial 7,1667,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,329,326,
Trial 8,1667,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,343,342,
Trial 9,1667,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,334,337,
Trial 10,1667,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,347,350,
